Lat,Long,Airport_name,City,State,Country,Iata_code
28.55563,77.09519,Indira Gandhi International Airport,New Delhi,Delhi (National Capital Territory),India,DEL
19.08869934,72.86789703,Chhatrapati Shivaji International Airport,Mumbai,Maharashtra,India,BOM
12.990005,80.169296,Chennai International Airport,Chennai,Tamil Nadu,India,MAA
13.1979,77.706299,Kempegowda International Airport,Bangalore,Karnataka,India,BLR
15.3808,73.831398,Dabolim Airport,Vasco da Gama,Goa,India,GOI
22.65469933,88.44670105,Netaji Subhash Chandra Bose International Airport,Kolkata,West Bengal,India,CCU
10.152,76.401901,Cochin International Airport,Kochi,Kerala,India,COK
17.231318,78.429855,Rajiv Gandhi International Airport,Hyderabad,Telangana,India,HYD
8.48211956,76.92009735,Trivandrum International Airport,Thiruvananthapuram,Kerala,India,TRV
23.07719994,72.63469696,Sardar Vallabhbhai Patel International Airport,Ahmedabad,Gujarat,India,AMD
26.8242,75.812202,Jaipur International Airport,Jaipur,Rajasthan,India,JAI
18.5821,73.919701,Pune Airport / Lohagaon Air Force Station,Pune,Maharashtra,India,PNQ
31.7096,74.797302,Sri Guru Ram Dass Jee International Airport,Amritsar,Punjab,India,ATQ
22.336201,73.226303,Vadodara Airport,Vadodara,Gujarat,India,BDQ
12.9612999,74.89009857,Mangalore International Airport,Mangalore,Karnataka,India,IXE
25.452129,82.861805,Lal Bahadur Shastri Airport,Varanasi,Uttar Pradesh,India,VNS
20.24440002,85.81780243,Biju Patnaik Airport,Bhubaneswar,Odisha,India,BBI
26.10610008,91.58589935,Lokpriya Gopinath Bordoloi International Airport,Guwahati,Assam,India,GAU
17.723506,83.227729,Visakhapatnam Airport / INS Dega,Visakhapatnam,Andhra Pradesh,India,VTZ
11.1368,75.955299,Calicut International Airport,Calicut,Kerala,India,CCJ
11.02999973,77.04340363,Coimbatore International Airport,Coimbatore,Tamil Nadu,India,CJB
26.25110054,73.04889679,Jodhpur Airport,Jodhpur,Rajasthan,India,JDH
9.83450985,78.09339905,Madurai Airport,Madurai,Tamil Nadu,India,IXM
17.4531,78.467598,Begumpet Airport,Hyderabad,Telangana,India,BPM
26.76059914,80.88929749,Chaudhary Charan Singh International Airport,Lucknow,Uttar Pradesh,India,LKO
25.591299,85.087997,Jay Prakash Narayan Airport,Patna,Bihar,India,PAT
